,url,keyword,terms,error,access_date
0,https://www.builtinnyc.com/job/product/sr-manager-product-manager-consumer-data/233201,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 20:21:38.055831
1,https://www.builtinnyc.com/job/product/senior-product-manager/233088,Requirements,Skills and Experience:,,2023-08-14 20:21:39.471261
2,https://www.builtinnyc.com/job/product/senior-product-manager/223516,Requirements,Qualifications:,,2023-08-14 20:21:41.384988
3,https://www.builtinnyc.com/job/product/sr-manager-product-management-channels-platforms-and-services/229949,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 20:21:43.531730
4,https://www.builtinnyc.com/job/product/senior-product-manager-azure-integrations/229730,Requirements,"['You have 5+ years of experience in B2B SaaS Product Management (ideally working on integrations or a developer-focused product)', 'You have hands on experience using multiple services from one or more of the major cloud providers (AWS, Microsoft Azure, Google Cloud)', 'You possess a deep understanding (and interest) in software development and emerging technologies', 'You have sharp critical thinking and analytical skills as well as the ability to link the product roadmap with business objectives', 'You have strong communication skills and the willingness to present your ideas to technical stakeholders and executives alike', ""You have a Bachelor's Degree in Engineering, Computer Science, Information Technology, or equivalent experience""]",,2023-08-14 20:21:45.368208
