,url,keyword,terms,error,access_date
8,https://www.builtinnyc.com/job/product/manager-product-manager/229509,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:20:47.585847
9,https://www.builtinnyc.com/job/product/product-manager-data-governance-and-information-security/232911,About You,"['3-5 years of product management or equivalent experience with successful history of delivering customer-oriented, complex solutions in a fast-moving environment, ideally in the digital advertising space', 'Computer science, data science, math, or engineering undergraduate degree or equivalent.', 'Experience in implementing data governance products in large enterprise businesses with an understanding of data concepts (data catalogue, meta-data management, data security policy management) and 3rdparty tools', 'Experience across the product management lifecycle for enterprise products or services', 'Proven ability to quickly learn and expand upon complex products, processes, and concepts', 'Superior communication skills for addressing colleagues and customers; the ability to present complicated concepts in a clear and concise manner to technical and non-technical audiences', 'Experience understanding and evaluating client requests, translating requests into detailed designs, and guiding engineering through implementation', 'Ability to quickly adapt to changes in the industry, development processes, and business priorities', 'Good organizational skills and strong attention to detail', 'Passionate about what you do, and excited about the opportunity!']",,2023-08-14 21:20:48.397046
0,https://www.builtinnyc.com/job/product/sr-product-manager-tv-platform-supply/232928,Requirements,"['5+ years of Product Management experience with a successful history of delivering customer-oriented B2B solutions, ideally related to advertising technology', 'Computer science, math, or engineering undergraduate degree or equivalent; MBA or equivalent graduate degree strongly preferred', 'Experience understanding and evaluating client needs, translating requests into detailed technical designs, and guiding engineering and cross-functional teams through implementation and go-to-market steps']",,2023-08-14 21:21:05.012771
1,https://www.builtinnyc.com/job/product/product-manager-big-bills/232321,Required Skills,"['4+ years of product management experience in a rapid-growth startup environment', 'Experience working with technical architects and an understanding of data models', 'Comfortable solving big, ambiguous problems via experimentation and limited data', 'Track record of successfully delivering complex software products (especially 0 to 1 initiatives)\xa0', 'Experience working directly with engineers and designers to ship customer-facing applications', 'Strong analytical and data driven approach', 'Strong executive communication + project management skills with leadership teams']",,2023-08-14 21:21:05.721331
3,https://www.builtinnyc.com/job/product/principal-product-manager-campaigns-measurement/226337,Requirements,About the role,,2023-08-14 21:22:59.832625
5,https://www.builtinnyc.com/job/product/manager-product-management/229513,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:24:59.841749
6,https://www.builtinnyc.com/job/product/senior-product-manager-api-and-developer-ecosystem/232723,About You,Your day to day is…,,2023-08-14 21:25:01.451619
7,https://www.builtinnyc.com/job/product/senior-product-manager/150505,Requirements,Responsibilities,,2023-08-14 21:25:02.406266
8,https://www.builtinnyc.com/job/product/investments-product-manager/223368,What you'll need,"['5+ years of Investment Product Management or Product Marketing experience', ""Bachelor's Degree or equivalent experience\xa0"", 'Multiple vehicle (Mutual funds, real estate investment products, ETFs, etc.) marketing experience highly preferred', 'Strong project management skills, detail-oriented and willingness to roll up your sleeves and execute', 'Experience with determining product-market fit and delivering products to market', 'Proven experience launching new products\xa0', 'Ability to lead and communicate cross-functionally with other departments', 'Strong organizational and analytical skills\xa0', 'Excellent written and verbal communication skills; ability to distill complex concepts into clear and compelling messaging', 'Strong ability to plan and execute on multiple projects simultaneously']",,2023-08-14 21:25:03.186112
9,https://www.builtinnyc.com/job/product/senior-product-manager-domains-email/232435,About You,"['4+ years of product management experience, managing software products from creation through launch and iteration', 'Expertise in the web domain industry including domain registration, management, and best practices', 'Familiarity with industry trends, emerging technologies, and regulatory requirements that impact the domain business', 'A nuanced understanding of the methods of modern product discovery, product delivery, and user segmentation', 'Excellent communication and interpersonal skills with the ability to align different teams around achieving business goals and outstanding user experiences']",,2023-08-14 21:25:03.941434
