,url,keyword,terms,error,access_date
0,https://www.builtinnyc.com/job/product/commercial-compliance-product-manager-opendata-north-america-remote/220125,Requirements,"['3+ years of expertise in Pharma Commercial Compliance & Regulatory regulations that impact healthcare professional transparency reporting', 'Data Analytical skills', 'Can query a database (e.g., SQL)', 'Product Management', 'Project Management', 'Excellent communication skills to address technical/non-technical audience', 'High-level presentation capabilities', 'Team player', 'Autonomous and proactive', 'Ability to work under pressure', 'Fluent in English']",,2023-08-16 13:40:20.481503
1,https://www.builtinnyc.com/job/product/senior-product-manager-benefits-platform/230477,Requirements,"As a Senior Product Manager working on Benefits (Crimson Sage), how results are achieved is paramount for your success and ultimately results in our success as an organization. In this role, your foundational knowledge, skills, abilities and personal attributes are anchored in the following competencies:",,2023-08-16 13:40:22.671960
3,https://www.builtinnyc.com/job/product/product-manager/219534,Requirements,,,2023-08-16 13:45:53.121402
4,https://www.builtinnyc.com/job/product/senior-product-manager-continuous-developer-testing/211163,You Have,"[' New hire stock equity (RSUs) and employee stock purchase plan (ESPP)', ' Continuous professional development, product training, and career pathing', ' Intra-departmental mentor and buddy program for in-house networking', ' An inclusive company culture, ability to join our Community Guilds', ' Access to Inclusion Talks, our Internal panel discussions', ' Free, global Spring Health benefits for employees and dependents age 6+', ' Competitive global benefits']",,2023-08-16 13:45:54.676820
5,https://www.builtinnyc.com/job/product/senior-product-manager/186050,Requirements,Requirements ,,2023-08-16 13:45:55.665554
6,https://www.builtinnyc.com/job/product/mba-product-manager-2024/230310,Qualifications,"[' Currently has, or is in the process of obtaining, a 2-year MBA with an expectation that degree will be obtained by August 2024 or earlier.', ' At least 2 years of business strategy, operations, military, customer service, or start-up experience']",,2023-08-16 13:45:57.419609
7,https://www.builtinnyc.com/job/product/senior-product-manager-application-performance-monitoring/230212,You Have,"['New hire stock equity (RSUs) and employee stock purchase plan (ESPP)', 'Continuous professional development, product training, and career pathing', 'Intra-departmental mentor and buddy program for in-house networking', 'An inclusive company culture, ability to join our Community Guilds', 'Access to Inclusion Talks, our Internal panel discussions', 'Free, global Spring Health benefits for employees and dependents age 6+', 'Competitive global benefits']",,2023-08-16 13:45:58.769576
0,https://www.builtinnyc.com/job/product/product-manager/219411,Requirements,[],,2023-08-16 13:47:48.620140
1,https://www.builtinnyc.com/job/product/senior-managers-digital-product-solution-design/233285,Qualifications,,,2023-08-16 13:47:49.693844
3,https://www.builtinnyc.com/job/product/senior-product-manager/219749,Requirements,"['5+ years experience overall', '3+ years product management experience working on a B2B SaaS product', 'Knowledge or experience building products that offer/consume APIs', 'BA/BS degree', 'Strong work ethic']",,2023-08-16 13:48:26.194012
4,https://www.builtinnyc.com/job/product/technical-product-manager/219419,Qualifications,"['Demonstrated ability to solve complex problems and to think both creatively and analytically', '4+ years of experience as a Product Manager, Technical Product Manager, Engineer or similar role', 'Engineering or QA background', 'Experience building enterprise scale digital products', 'Experience partnering with fast-paced cross-functional delivery teams to create digital products with strong focus on technology and user experience.', 'Experience in data modeling and relational databases', 'Familiarity with CI/CD tools', 'Experience with web accessibility', 'Proficient in JIRA, Confluence, Github and other development management tools', 'Experience with Agile / Lean delivery methodologies', 'Global and cultural awareness', 'US Citizen or authorized to work in the US']",,2023-08-16 13:48:28.321851
5,https://www.builtinnyc.com/job/product/staff-product-manager-data-products/232668,Qualifications,,,2023-08-16 13:48:30.337472
6,https://www.builtinnyc.com/job/product/product-manager/219500,Core Responsibilities,"['Use market research, competition, and industry insights to shape product strategy and build our product roadmap.\xa0', 'Evangelize your products to the engineers that build them and the customers that buy them.', 'Work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. You can break down complex problems into steps that drive product development.', 'Be a champion for testing, measurement, and iteration. Use data as a superpower to make educated decisions about product performance and product growth.', 'Translate ideas into action by drafting clear requirements for those who will build the product. You’ll seek to remove ambiguity and maximize efficiency at every step of delivery.']",,2023-08-16 13:48:32.507224
7,https://www.builtinnyc.com/job/product/staff-product-manager-cockroachdb-dedicated-and-cloud-platform-new-york-san-francisco,Core Responsibilities,You Will ,,2023-08-16 13:48:34.760038
9,https://www.builtinnyc.com/job/product/product-manager-ii/232982,Requirements,What you bring to the role,,2023-08-16 13:49:11.066047
10,https://www.builtinnyc.com/job/product/product-manager-listed-derivatives-trading/231223,Requirements,,,2023-08-16 13:49:12.770699
12,https://www.builtinnyc.com/job/product/product-manager-alphastudio/229557,Qualifications,,,2023-08-16 13:49:51.496334
13,https://www.builtinnyc.com/job/product/sr-product-manager-marketplace/232664,Requirements,"['5+ years of experience overseeing the entire product development process from product ideation to product delivery, including writing narratives, requirements, white papers, and other PM artifacts.\xa0', '1+ year of marketplaces and commerce-related products, from user-facing experiences to the underlying APIs and algorithms that power them\xa0', ""Proven track record of getting things done and done well with lots of examples of projects you've spearheaded"", 'Analytical mindset and data-driven decision-making experience', 'Amazing written and verbal communication skills', 'Comfort with ambiguity and the grit to turn uncertainty into action']",,2023-08-16 13:49:53.895541
14,https://www.builtinnyc.com/job/product/product-manager/232702,Qualifications,"['Bachelor’s degree in product design or engineering', 'Strong experience in a dynamic product management role', 'Proven experience overseeing all elements of the product development lifecycle', 'Highly effective cross-functional team management', 'Previous experience delivering finely-tuned product marketing strategies', 'Exceptional writing and editing skills combined with strong presentation and public speaking skills', ""Preferred Skills (Master's degree in product design or engineering, previous software and web development experience, proven experience working as a product developer in a non-managerial role and demonstrable knowledge in SEM and online advertising""]",,2023-08-16 13:49:55.568314
15,https://www.builtinnyc.com/job/product/lead-product-manager/232692,Requirements,What U bring:,,2023-08-16 13:49:57.053519
16,https://www.builtinnyc.com/job/product/sr-product-manager-cross-sell/229791,Qualifications,"['6+ years experience as a Product Manager, preferably in an agile, B2C digital native app-focused product organization.', 'Deep passion for sports, gaming, and entertainment products that drive empathetic and thoughtful product decisions affecting end users .', 'Warrior mentality, with a willingness to do what it takes to get the job done.', 'Excellent communication skills, with an ability to simply articulate product outcomes and value propositions to leadership.', 'Collaborative personality, with an ability to work cross-functionally across different Product teams and teams at Fanatics.', 'Oriented towards thinking about the future and building the strategy but isn’t afraid to get their hands dirty to get a project across the finish line\xa0Interest in implementing a “test and learn” atmosphere']",,2023-08-16 13:49:58.867361
17,https://www.builtinnyc.com/job/product/senior-product-manager-technical/232645,Requirements,"['5+ years of product management in a high performing product org, or equivalent experience, at agile, continuous delivery, cloud software technology companies.', 'Prior experience as a software engineer or equivalent experience in software engineering or computer science.', 'Experience with data driven platforms, products, and features in data management, marketing technology, and/or advertising industries.', 'Experience managing planning and execution for multiple features across one or more product areas.', 'A proven track record of making insightful decisions and nuanced tradeoffs, balancing numerous priorities and requests across multiple groups of external and internal stakeholders and customers, to accomplish great things.', 'Excellent written communication and presentation skills for audiences across skill levels and technical aptitudes.']",,2023-08-16 13:50:00.618057
18,https://www.builtinnyc.com/job/product/principal-technical-product-manager/232721,WHAT WE'RE LOOKING FOR,"['7+ years of product management experience at agile, continuous delivery, cloud software technology companies.', 'Prior experience as a software engineer or equivalent experience in software engineering or computer science.', 'Experience with data-driven platforms, products, and features in data management, marketing technology, and/or advertising industries.', 'Demonstrated leadership of cross-team product initiatives and guiding other PM team mates within a high performance product team.', 'Experience managing planning and execution for a portfolio of products across one or more product areas.', 'A proven track record of making insightful decisions and nuanced tradeoffs, balancing numerous priorities and requests across multiple groups of external and internal stakeholders and customers, to accomplish great things.Excellent written communication and presentation skills for audiences across skill levels and technical aptitudes.']",,2023-08-16 13:50:02.236989
19,https://www.builtinnyc.com/job/product/sr-product-manager/232624,Qualifications,"['5+ years of experience as a Senior Product Manager, preferably in a start-up / fast paced environment.', 'Proven experience with AI, data products, and analytics platforms.', 'Experience in building integrations with other platforms.', 'Strong knowledge of product development processes and principles.', 'Proficient in creating product requirement documents (PRDs) and rapid prototyping.', 'Exceptional communication skills, both written and verbal.', 'Proven experience in managing all aspects of a successful product throughout its lifecycle.', 'A keen eye for simple, intuitive design and UI/UX.', 'Exceptional project management and organizational skills.', 'Good understanding of data based systems.', 'Customer-facing experience.', 'Proven ability to lead teams through highly ambiguous environments.', 'Proven ability to partner with sales teams and sensitive customer escalations']",,2023-08-16 13:50:03.615456
0,https://www.builtinnyc.com/job/product/senior-product-manager/232570,Requirements,Qualifications,,2023-08-16 13:51:46.408849
1,https://www.builtinnyc.com/job/product/staff-product-manager-growth/232614,WHAT WE'RE LOOKING FOR,"['7+ years of experience in product related role with at least 4 years of experience in a product centric growth environment driving adoption across large product initiatives', 'Highly analytical and able to do deep analysis on user intent and behavior; ability to combine quantitative and qualitative analyses', 'Subject-matter expertise on growth strategies and channels, including user onboarding, A/B testing, and referrals', 'Demonstrated experience in leading the development of products and features from inception to launch', 'Technical fluency; comfort discussing technology concepts with engineering counterparts', 'Passion for empowering small business owners to be successful; possess a high level of empathy our customers and a strong desire to deeply understand their needs']",,2023-08-16 13:51:48.238627
